col0	No	種類	地域	市区町村コード	都道府県名	市区町村名	地区名	最寄駅：名称	最寄駅：距離（分）	取引価格（総額）	坪単価	間取り	面積（㎡）	取引価格（㎡単価）	土地の形状	間口	延床面積（㎡）	建築年	建物の構造	用途	今後の利用目的	前面道路：方位	前面道路：種類	前面道路：幅員（ｍ）	都市計画	建ぺい率（％）	容積率（％）	取引時点	改装	取引の事情等
3563	3564	宅地(土地)	住宅地	13111	東京都	大田区	大森西	大森町	2	50000000	3600000.0		45	1100000.0	長方形	9.5					住宅	西	区道	5.8	第１種住居地域	60.0	200.0	2021年第３四半期		
3570	3571	宅地(土地)	住宅地	13112	東京都	世田谷区	船橋	千歳船橋	6	60000000	2300000.0		90	680000.0	台形	12.1					住宅	南	区道	6.0	第１種低層住居専用地域	50.0	100.0	2021年第３四半期		
3576	3577	宅地(土地)	住宅地	13111	東京都	大田区	大森西	平和島	15	22000000	2200000.0		30	680000.0	ほぼ長方形	7.2					住宅	南東	区道	3.2	準工業地域	60.0	200.0	2021年第３四半期		
3577	3578	宅地(土地)	住宅地	13111	東京都	大田区	大森西	平和島	10	46000000	2400000.0		60	740000.0	ほぼ長方形	6.5					住宅	南	区道	4.3	準工業地域	60.0	200.0	2021年第３四半期		
3580	3581	宅地(土地)	住宅地	13111	東京都	大田区	大森東	梅屋敷(東京)	13	35000000	1600000.0		75	470000.0	長方形	7.2					住宅	南西	区道	4.0	準工業地域	60.0	200.0	2021年第３四半期		
3589	3590	宅地(土地)	住宅地	13111	東京都	大田区	大森東	平和島	5	51000000	2200000.0		75	670000.0	長方形	7.5					住宅	北	区道	4.8	商業地域	80.0	500.0	2021年第４四半期		
3601	3602	宅地(土地)	商業地	13111	東京都	大田区	大森本町	平和島	1H?1H30	46000000	2500000.0		60	760000.0	ほぼ長方形	5.0						南	区道	49.0	商業地域	80.0	500.0	2021年第３四半期		
3603	3604	宅地(土地)	住宅地	13112	東京都	世田谷区	南烏山	千歳烏山	4	52000000	2300000.0		75	690000.0	長方形	8.0					住宅	南西	私道	4.0	第１種住居地域	60.0	200.0	2021年第３四半期		
3605	3606	宅地(土地)	住宅地	13112	東京都	世田谷区	南烏山	千歳烏山	2	180000000	2500000.0		240	760000.0	長方形	10.8					住宅	北東	区道	4.0	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
3608	3609	宅地(土地)	住宅地	13112	東京都	世田谷区	南烏山	芦花公園	6	180000000	1300000.0		470	390000.0	ほぼ長方形	22.4					住宅	西	私道	4.0	第１種中高層住居専用地域	60.0	200.0	2021年第３四半期		
