"No","種類","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","間取り","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時点","改装","取引の事情等"
9648,"中古マンション等","","13202","東京都","立川市","高松町","立川","11",25000000,"","１Ｋ","20",,"","","","令和3年","","住宅","住宅","","",,"商業地域",80,400,"2021年第４四半期","",""
9649,"中古マンション等","","13202","東京都","立川市","高松町","立川","10",24000000,"","１Ｋ","20",,"","","","令和3年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第４四半期","未改装",""
9650,"中古マンション等","","13202","東京都","立川市","高松町","立川","16",38000000,"","３ＬＤＫ","105",,"","","","平成6年","ＳＲＣ","","住宅","","",,"商業地域",80,400,"2021年第４四半期","未改装",""
9651,"中古マンション等","","13202","東京都","立川市","高松町","立川","9",27000000,"","１Ｋ","20",,"","","","","","住宅","住宅","","",,"近隣商業地域",80,300,"2021年第４四半期","",""
9652,"中古マンション等","","13202","東京都","立川市","高松町","立川","10",25000000,"","１Ｋ","20",,"","","","令和3年","ＲＣ","住宅","その他","","",,"商業地域",80,400,"2021年第４四半期","改装済",""
9653,"宅地(土地)","住宅地","13202","東京都","立川市","高松町","立川","16",28000000,"650000","","140",200000,"袋地等","2.5","","","","","住宅","北東","私道",4.0,"第１種中高層住居専用地域",60,200,"2021年第３四半期","",""
9654,"中古マンション等","","13202","東京都","立川市","高松町","立川","9",40000000,"","３ＬＤＫ","55",,"","","","平成9年","ＳＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第３四半期","改装済",""
9655,"宅地(土地と建物)","住宅地","13212","東京都","日野市","大字宮","高幡不動","20",41000000,"","","110",,"長方形","8.8","85","令和3年","木造","住宅","住宅","東","私道",4.0,"第１種低層住居専用地域",40,80,"2021年第３四半期","",""
9656,"宅地(土地と建物)","住宅地","13212","東京都","日野市","百草","聖蹟桜ケ丘","18",39000000,"","","230",,"袋地等","","95","令和3年","木造","住宅","住宅","北東","市道",6.0,"第１種低層住居専用地域",40,80,"2021年第３四半期","",""
9657,"宅地(土地)","商業地","13202","東京都","立川市","錦町","柴崎体育館","11",45000000,"890000","","165",270000,"長方形","9.1","","","","","住宅","西","都道",16.0,"第１種住居地域",60,200,"2021年第４四半期","",""
9658,"宅地(土地と建物)","住宅地","13202","東京都","立川市","錦町","柴崎体育館","2H?",51000000,"","","180",,"長方形","9.1","","昭和51年","木造","住宅","住宅","北西","市道",6.0,"第１種住居地域",60,200,"2021年第４四半期","",""
9659,"宅地(土地と建物)","住宅地","13212","東京都","日野市","百草","百草園","9",27000000,"","","200",,"長方形","10.8","115","昭和62年","軽量鉄骨造","住宅","住宅","東","私道",4.0,"第１種低層住居専用地域",30,60,"2021年第３四半期","",""
9660,"宅地(土地と建物)","住宅地","13212","東京都","日野市","百草","百草園","19",39000000,"","","130",,"長方形","9.4","105","令和3年","木造","住宅","住宅","南","私道",5.0,"第１種低層住居専用地域",40,80,"2021年第３四半期","",""
9661,"宅地(土地と建物)","住宅地","13202","東京都","立川市","錦町","立川","13",50000000,"","","125",,"ほぼ長方形","9.5","95","令和3年","木造","住宅","住宅","東","私道",3.4,"第１種低層住居専用地域",40,80,"2021年第４四半期","",""
9662,"宅地(土地と建物)","住宅地","13202","東京都","立川市","錦町","立川","14",46000000,"","","115",,"袋地等","2.6","90","令和3年","木造","","住宅","南","市道",5.5,"第１種低層住居専用地域",40,80,"2021年第４四半期","",""
9663,"宅地(土地と建物)","住宅地","13202","東京都","立川市","錦町","立川","13",49000000,"","","130",,"台形","16.4","95","令和3年","木造","住宅","住宅","北","市道",4.0,"第１種低層住居専用地域",40,80,"2021年第４四半期","","私道を含む取引"
9664,"宅地(土地と建物)","住宅地","13202","東京都","立川市","錦町","立川","16",55000000,"","","120",,"ほぼ長方形","6.5","95","令和3年","木造","住宅","住宅","南西","市道",3.0,"第１種低層住居専用地域",40,80,"2021年第４四半期","",""
9665,"宅地(土地と建物)","住宅地","13202","東京都","立川市","錦町","立川","9",150000000,"","","240",,"ほぼ長方形","11.0","370","昭和61年","ＲＣ","共同住宅","住宅","西","市道",4.0,"商業地域",80,400,"2021年第４四半期","","私道を含む取引"
9666,"中古マンション等","","13202","東京都","立川市","錦町","立川","18",5600000,"","１Ｋ","20",,"","","","昭和45年","ＲＣ","住宅","","","",,"準工業地域",60,200,"2021年第４四半期","未改装",""
9667,"中古マンション等","","13202","東京都","立川市","錦町","立川","15",8500000,"","２ＤＫ","40",,"","","","昭和47年","ＳＲＣ","住宅","住宅","","",,"準工業地域",60,200,"2021年第４四半期","未改装",""
9668,"中古マンション等","","13202","東京都","立川市","錦町","立川","9",5400000,"","１Ｋ","15",,"","","","平成2年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第４四半期","改装済",""
9669,"中古マンション等","","13202","東京都","立川市","錦町","立川","9",28000000,"","２ＬＤＫ","60",,"","","","平成10年","ＲＣ","住宅","その他","","",,"第１種中高層住居専用地域",60,200,"2021年第４四半期","未改装",""
9670,"中古マンション等","","13202","東京都","立川市","錦町","立川","10",53000000,"","３ＬＤＫ","65",,"","","","平成27年","ＲＣ","住宅","住宅","","",,"商業地域",80,400,"2021年第４四半期","改装済",""
9671,"中古マンション等","","13202","東京都","立川市","錦町","立川","20",19000000,"","２ＬＤＫ","60",,"","","","平成2年","ＲＣ","","住宅","","",,"準工業地域",60,200,"2021年第３四半期","未改装",""
9672,"中古マンション等","","13202","東京都","立川市","錦町","立川","8",28000000,"","１ＬＤＫ","40",,"","","","平成24年","ＲＣ","住宅","住宅","","",,"近隣商業地域",80,400,"2021年第３四半期","未改装",""
9673,"宅地(土地)","住宅地","13213","東京都","東村山市","青葉町","秋津","17",24000000,"470000","","165",140000,"ほぼ正方形","13.0","","","","","住宅","北東","私道",4.0,"第１種低層住居専用地域",40,80,"2021年第３四半期","","私道を含む取引"
9674,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","久米川","25",33000000,"","","110",,"長方形","7.2","90","令和3年","木造","住宅","住宅","南東","私道",5.4,"第２種中高層住居専用地域",60,200,"2021年第３四半期","","私道を含む取引"
9675,"宅地(土地)","住宅地","13213","東京都","東村山市","青葉町","久米川","30分?60分",15000000,"500000","","100",150000,"ほぼ正方形","10.1","","","","","倉庫","南西","私道",4.2,"第１種低層住居専用地域",40,80,"2021年第３四半期","",""
9676,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","久米川","29",24000000,"","","115",,"長方形","9.8","90","平成19年","木造","住宅","住宅","北西","市道",6.0,"第１種低層住居専用地域",40,80,"2021年第３四半期","",""
9677,"宅地(土地と建物)","住宅地","13213","東京都","東村山市","青葉町","新秋津","24",9200000,"","","65",,"長方形","8.7","65","昭和54年","木造","住宅","住宅","南東","私道",4.2,"準工業地域",60,200,"2021年第３四半期","",""
9678,"宅地(土地)","住宅地","13213","東京都","東村山市","青葉町","東村山","25",4500000,"220000","","65",68000,"長方形","6.6","","","","","","南西","私道",3.3,"第１種中高層住居専用地域",60,200,"2021年第３四半期","","私道を含む取引"
